crime_head,pending_prev_year,reported_during_year,reopened_for_investigation,total_for_investigation,not_investigated_157_1_b,transferred_other_state_or_agency,withdrawn_by_govt,fr_non_cognizable,fr_false,fr_other_13,fr_other_14,fr_other_15,fr_total,chargesheet_prev_year,chargesheet_during_year,chargesheet_total,disposed_by_police,quashed_investigation,stayed_investigation,pending_end_year,chargesheeting_rate_pct,pendency_pct,year
The Dowry Prohibition Act,5569,10189,0,15758,0,57,0,1,278,544,562,27,1412,2624,5030,7654,9123,5,10,6630,83.9,42.1,2017
The Immoral Traffic (Prevention) Act,1971,2127,4,4102,0,1,0,0,13,19,36,1,69,653,1288,1941,2011,1,2,2090,96.5,51.0,2017
The Protection of Women from Domestic Violence Act,129,616,0,745,0,0,0,0,16,2,7,0,25,85,458,543,568,0,0,177,95.6,23.8,2017
The Indecent Representation of Women (Prohibition) Act,17,25,0,42,0,0,0,0,0,0,1,0,1,7,10,17,18,0,4,24,94.4,57.1,2017
Crime Against Women - Related Acts (Total),7686,12957,4,20647,0,58,0,1,307,565,606,28,1507,3369,6786,10155,11720,6,16,8921,86.6,43.2,2017
The Protection of Children from Sexual Offences Act,12312,32608,4,44924,1,53,3,8,677,272,697,46,1700,5958,22105,28063,29817,26,40,15078,94.1,33.6,2017
The Juvenile Justice (Care and Protection of Children) Act,894,2452,0,3346,0,1,0,0,35,55,231,2,323,334,1626,1960,2284,3,3,1059,85.8,31.6,2017
The Prohibition of Child Marriage Act,201,395,0,596,0,6,0,0,16,13,17,0,46,111,180,291,343,1,8,252,84.8,42.3,2017
The Pre-Natal Diagnostic Techniques (Reg and Prev of Misuse) Act,26,84,0,110,0,0,0,0,2,0,0,0,2,22,59,81,83,0,0,27,97.6,24.5,2017
The Child Labour (Prohibition & Regulation) Act,265,462,1,728,0,2,0,0,14,10,4,0,28,93,270,363,393,0,0,335,92.4,46.0,2017
The Medical Termination of Pregnancy Act,14,71,0,85,0,0,0,0,5,0,0,0,5,12,45,57,62,0,0,23,91.9,27.1,2017
Children - Related Acts (Total),13712,36072,5,49789,1,62,3,8,749,350,949,48,2104,6530,24285,30815,32982,30,51,16774,93.4,33.7,2017
The SC/ST (Prevention of Atrocities) Act against SCs,3639,5775,3,9417,1,15,1,16,783,282,409,7,1497,1428,3032,4460,5973,10,34,3433,74.7,36.5,2017
The SC/ST (Prevention of Atrocities) Act against STs,625,720,0,1345,0,5,0,4,94,39,24,2,163,175,314,489,657,4,4,684,74.4,50.9,2017
The Protection of Civil Rights Act against SCs,30,234,0,264,0,0,0,3,5,1,1,0,10,10,207,217,227,0,0,37,95.6,14.0,2017
The Protection of Civil Rights Act against STs,2,0,32,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,,100.0,2017
Scheduled Castes and Scheduled Tribes - Related Acts (Total),4296,6729,35,11060,1,20,1,23,882,322,434,9,1670,1613,3553,5166,6857,14,38,4188,75.3,37.9,2017
The Prevention of Damage to Public Property Act,2935,7910,1,10846,0,2,0,0,62,176,612,3,853,1311,5374,6685,7540,2,6,3304,88.7,30.5,2017
The Unlawful Activities (P) Act,3550,901,2,4453,0,4,0,0,4,1,252,0,257,141,131,272,533,0,0,3920,51.0,88.0,2017
The Official Secrets Act,12,18,0,30,0,0,0,0,0,0,2,0,2,4,10,14,16,0,0,14,87.5,46.7,2017
Offences against State - Related Acts (Total),6497,8829,3,15329,0,6,0,0,66,177,866,3,1112,1456,5515,6971,8089,2,6,7238,86.2,47.2,2017
The Arms Act,11567,58053,6,69626,20,22,0,4,66,86,607,16,779,5043,51702,56745,57566,2,11,12058,98.6,17.3,2017
Fire Arms,9897,36292,2,46191,20,15,0,1,49,65,315,9,439,4180,31253,35433,35907,2,0,10282,98.7,22.3,2017
Legal/Licensed Arms,200,419,0,619,0,0,0,0,3,1,14,0,18,46,334,380,398,0,0,221,95.5,35.7,2017
Illegal/Unlicensed Arms,9697,35873,2,45572,20,15,0,1,46,64,301,9,421,4134,30919,35053,35509,2,0,10061,98.7,22.1,2017
Other Arms,1670,21761,4,23435,0,7,0,3,17,21,292,7,340,863,20449,21312,21659,0,11,1776,98.4,7.6,2017
The Explosives Act,749,2309,0,3058,0,0,0,0,6,13,38,1,58,318,1971,2289,2347,0,0,711,97.5,23.3,2017
The Explosive Substances Act,2601,1853,1,4455,0,0,0,0,10,10,273,3,296,725,1001,1726,2022,1,3,2432,85.4,54.6,2017
Arms/Explosive - Related Acts (Total),14917,62215,7,77139,20,22,0,4,82,109,918,20,1133,6086,54674,60760,61935,3,14,15201,98.1,19.7,2017
The Information Technology Act,8877,13635,1,22513,0,60,4,12,232,730,5457,90,6521,1213,1956,3169,9750,9,10,12750,32.5,56.6,2017
The Copy Right Act,2822,3335,1,6158,0,22,0,0,47,57,135,2,241,1080,2241,3321,3584,5,6,2569,92.7,41.7,2017
The Trade Marks Act,114,188,1,303,0,0,0,0,4,5,19,0,28,42,80,122,150,2,1,151,81.3,49.8,2017
Information Technology/Intellectual Property - Related Acts (Total),11813,17158,3,28974,0,82,4,12,283,792,5611,92,6790,2335,4277,6612,13484,16,17,15470,49.0,53.4,2017
The Lotteries (Regulation) Act,696,3839,0,4535,0,0,0,0,0,13,0,1,14,347,3359,3706,3720,0,1,815,99.6,18.0,2017
The Chit Funds Acts,72,182,0,254,0,0,0,0,9,5,10,0,24,20,39,59,83,2,0,169,71.1,66.5,2017
The Negotiable Instruments Act,0,32,0,32,0,0,0,0,0,0,4,0,4,0,18,18,22,0,0,10,81.8,31.3,2017
The Benami Transaction (Prohibition) Act,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2017
The Mines and Minerals (Development and Regulation) Act,3334,24169,0,27503,0,32,0,7,52,1172,1345,5,2581,2626,16293,18919,21532,1,1,5970,87.9,21.7,2017
Prevention of Corruption Act,938,1158,0,2096,0,3,0,0,23,18,29,1,71,537,350,887,961,2,0,1133,92.3,54.1,2017
Finance & Economic - Related Acts (Total),5040,29380,0,34420,0,35,0,7,84,1208,1388,7,2694,3530,20059,23589,26318,5,2,8097,89.6,23.5,2017
Prohibition Act (State),94794,469480,1,564275,117,1165,258,146,133,79,1874,153,2385,71091,410392,481483,485150,0,6,78867,99.2,14.0,2017
The Excise Act,31208,276168,0,307376,1,5832,10,2,455,90,2189,19,2755,19994,232800,252794,261382,3,4496,45981,96.7,15.0,2017
The Narcotic Drugs & Psychotropic Substances Act,21107,63800,1,84908,0,17,0,2,282,149,441,13,887,10181,46314,56495,57399,5,2,27504,98.4,32.4,2017
Possession of drugs for Personal use/Consumption,12884,41056,0,53940,0,11,0,1,180,73,148,7,409,5166,31540,36706,37126,2,0,16812,98.9,31.2,2017
Possession of drugs for Trafficking,8223,22744,1,30968,0,6,0,1,102,76,293,6,478,5015,14774,19789,20273,3,2,10692,97.6,34.5,2017
Liquor & Narcotic Drugs - Related Acts (Total),147109,809448,2,956559,118,7014,268,150,870,318,4504,185,6027,101266,689506,790772,803931,8,4504,152352,98.4,15.9,2017
The Forest Act & The Forest Conservation Act,831,3016,3,3850,0,60,0,2,15,37,219,10,283,380,2268,2648,2991,1,0,858,88.5,22.3,2017
The Wildlife Protection Act,400,826,0,1226,0,22,0,0,10,18,96,0,124,167,578,745,891,0,0,335,83.6,27.3,2017
The Environmental (Protection) Act,118,171,0,289,0,0,0,0,1,8,9,1,19,52,81,133,152,0,0,137,87.5,47.4,2017
The Air & The Water (Prevention & Control of Pollution) Act,33,36,0,69,0,0,0,0,2,0,2,0,4,22,26,48,52,0,0,17,92.3,24.6,2017
The Cigarette and Other Tobacco Products Act,1125,29659,0,30784,0,1,0,0,0,31,18,0,49,801,25168,25969,26019,0,0,4765,99.8,15.5,2017
Noise Pollution Acts,151,8423,0,8574,0,0,0,0,1,1,43,0,45,87,8314,8401,8446,0,0,128,99.5,1.5,2017
The National Green Tribunal Act,4,12,0,16,0,0,0,0,0,0,2,0,2,2,7,9,11,0,0,5,81.8,31.3,2017
Environment & Pollution - Related Acts (Total),2662,42143,3,44808,0,83,0,2,29,95,389,11,526,1511,36442,37953,38562,1,0,6245,98.4,13.9,2017
The Registration of Foreigners Act & The Foreigners Act,440,1468,0,1908,0,1,0,0,2,10,12,0,24,155,1296,1451,1476,0,0,432,98.3,22.6,2017
The Passport Act,1970,451,1,2422,0,3,0,0,1,22,41,2,66,287,184,471,540,0,5,1882,87.2,77.7,2017
The Emigration Act,93,127,0,220,0,0,0,0,0,6,4,0,10,31,39,70,80,0,0,140,87.5,63.6,2017
The Citizenship Act,15,37,0,52,0,0,0,0,0,1,1,0,2,1,26,27,29,0,0,23,93.1,44.2,2017
Foreigner & Passport - Related Acts (Total),2518,2083,1,4602,0,4,0,0,3,39,58,2,102,474,1545,2019,2125,0,5,2477,95.0,53.8,2017
The Indian Railways Act,117,309,0,426,0,0,0,0,0,8,80,0,88,22,202,224,312,0,0,114,71.8,26.8,2017
The Railway Property (Unlawful Possession) Act,2,3,0,5,0,0,0,0,0,0,2,0,2,0,0,0,2,0,0,3,0.0,60.0,2017
Railways - Related Acts (Total),119,312,0,431,0,0,0,0,0,8,82,0,90,22,202,224,314,0,0,117,71.3,27.1,2017
The Indian Telegraph Act,2,37,0,39,0,0,0,0,2,0,8,0,10,0,19,19,29,0,0,10,65.5,25.6,2017
The Telegraph Wire (Unlawful Possession) Act,0,2,0,2,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,100.0,0.0,2017
The Cinematograph Act,2,11,0,13,0,0,0,0,0,1,0,0,1,0,11,11,12,0,0,1,91.7,7.7,2017
The Cable Television Networks (Regulation) Act,5,5,0,10,0,0,0,0,0,1,1,0,2,3,1,4,6,0,0,4,66.7,40.0,2017
Telegraph/Cinematograph - Related Acts (Total),9,55,0,64,0,0,0,0,2,2,9,0,13,3,33,36,49,0,0,15,73.5,23.4,2017
The Essential Commodities Act,3278,4634,0,7912,0,2,0,7,54,107,199,8,375,1514,2442,3956,4333,3,12,3576,91.3,45.2,2017
The Prevention of Food Adulteration Act,14,23,0,37,0,0,0,0,0,0,2,0,2,6,14,20,22,0,0,15,90.9,40.5,2017
The Food Safety & Standards Act,44,76,0,120,0,1,0,0,0,0,1,0,1,17,19,36,38,0,0,82,94.7,68.3,2017
"Food, Drugs and Essential Commodities - Related Acts (Total)",3336,4733,0,8069,0,3,0,7,54,107,202,8,378,1537,2475,4012,4393,3,12,3673,91.3,45.5,2017
MACOCA/Control of Organised Crimes,12,56,0,68,0,0,0,0,0,0,0,0,0,8,22,30,30,0,0,38,100.0,55.9,2017
The Gambling Act,13688,145954,0,159642,0,0,0,0,3,16,110,11,140,9962,135531,145493,145633,2,1,14007,99.9,8.8,2017
The Electricity Act,33160,235998,1,269159,0,5,0,13,989,10122,77573,80,88777,7989,87888,95877,184659,1,124,84499,51.9,31.4,2017
The Antiques and Art Treasures Act,42,70,0,112,0,1,0,0,1,0,4,1,6,29,44,73,80,0,1,32,91.3,28.6,2017
The Representation of the People Act,254,392,0,646,0,0,0,2,6,13,43,0,64,126,188,314,378,1,1,267,83.1,41.3,2017
The Bonded Labour System (Abolition) Act,72,463,0,535,0,0,0,0,52,10,13,0,75,32,275,307,382,0,4,153,80.4,28.6,2017
Against SC,17,356,0,373,0,0,0,0,46,6,11,0,63,6,211,217,280,0,2,93,77.5,24.9,2017
Against ST,13,30,0,43,0,0,0,0,0,0,0,0,0,12,15,27,27,0,1,16,100.0,37.2,2017
Against others,42,77,0,119,0,0,0,0,6,4,2,0,12,14,49,63,75,0,1,44,84.0,37.0,2017
The Prevention of Insults to National Honour Act,50,66,0,116,0,0,0,0,1,9,8,0,18,17,35,52,70,0,0,46,74.3,39.7,2017
Defacement of Public Property Acts,1128,5865,0,6993,0,0,0,1,23,155,295,0,474,542,3541,4083,4557,0,9,2436,89.6,34.8,2017
The Transplantation of Human Organs Act,4,1,0,5,0,0,0,0,2,0,0,0,2,1,1,2,4,0,0,1,50.0,20.0,2017
The Mental Health Act,55,389,0,444,9,0,1,1,33,88,144,36,302,0,15,15,326,0,0,117,4.6,26.4,2017
Motor Vehicle Act,14077,247978,0,262055,0,0,0,0,1,9,43,11,64,16049,240553,256602,256666,0,0,5389,100.0,2.1,2017
City/Town Police Acts,11160,56021,0,67181,0,0,5,2,1,375,11,6,395,9390,40994,50384,50779,0,26,16397,99.2,24.4,2017
Other State Local Acts,18865,132892,2,151759,6,7,2,19,361,792,980,88,2240,9427,114946,124373,126626,11,41,25120,98.2,16.6,2017
Other Regulatory & Enforcement - Related Acts (Total),92567,826145,3,918715,15,13,8,38,1473,11589,79224,233,92557,53572,624033,677605,770190,15,207,148502,88.0,16.2,2017
Other SLL Crimes,43867,86206,3,130076,1,70,1,32,1523,3170,5864,453,11042,18598,58894,77492,88605,19,453,41451,87.5,31.9,2017
Total Cognizable SLL Crimes,356148,1944465,69,2300682,156,7472,285,284,6407,18851,101104,1099,127745,201902,1532279,1734181,1869554,122,5325,430721,92.8,18.7,2017
The Dowry Prohibition Act,6630,12826,0,19456,1,61,0,13,307,819,1216,15,2370,3067,6531,9598,12030,1,31,7425,79.8,38.2,2018
