crime_head,pending_prev_year,reported_during_year,reopened_for_investigation,total_for_investigation,not_investigated_157_1_b,transferred_other_state_or_agency,withdrawn_by_govt,fr_non_cognizable,fr_false,fr_other_13,fr_other_14,fr_other_15,fr_total,chargesheet_prev_year,chargesheet_during_year,chargesheet_total,disposed_by_police,quashed_investigation,stayed_investigation,pending_end_year,chargesheeting_rate_pct,pendency_pct,year
The Passport Act,1663,528,10,2201,0,2,0,0,4,38,69,1,112,278,215,493,607,1,0,1593,81.2,72.4,2021
The Emigration Act,300,80,0,380,0,0,0,0,3,2,6,0,11,69,12,81,92,5,0,283,88.0,74.5,2021
The Citizenship Act,4,4,0,8,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,7,100.0,87.5,2021
Foreigner & Passport  Related Acts,2490,2369,10,4869,0,4,0,0,14,56,102,1,173,500,1718,2218,2395,6,0,2468,92.6,50.7,2021
The Indian Railways Act,71,131,1,203,0,1,0,1,0,3,45,0,49,14,57,71,121,0,0,82,58.7,40.4,2021
The Railway Property (Unlawful Possession) Act,2,4,0,6,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,3,100.0,50.0,2021
Railways  Related Acts,73,135,1,209,0,1,0,1,0,3,45,0,49,14,60,74,124,0,0,85,59.7,40.7,2021
The Indian Telegraph Act,27,22,0,49,0,0,0,0,0,0,12,0,12,5,7,12,24,0,0,25,50.0,51.0,2021
The Telegraph Wire (Unlawful Possession) Act,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,100.0,0.0,2021
The Cinematograph Act,3,7,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,,100.0,2021
The Cable Television Networks (Regulation) Act,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,100.0,2021
Telegraph/Cinematograph Acts,33,30,0,63,0,0,0,0,0,0,12,0,12,6,7,13,25,0,1,38,52.0,60.3,2021
The Essential Commodities Act,4089,5123,3,9215,0,1,0,3,52,95,158,2,310,1973,2864,4837,5148,0,8,4067,94.0,44.1,2021
